player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,axis_consistency,n_matches_consistency,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus,meters_run_intl,clean_breaks_intl,defenders_beaten_intl,passes_intl,runs_intl,lineouts_won_intl,missed_tackles_intl,tackles_intl,turnovers_conceded_intl,penalties_conceded_intl,offloads_intl
lnr_1889,1889,remi-seneca,https://cdn.lnr.fr/joueur/1889-remi-seneca/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Rémi Seneca,Pau,PAU,FRONT_ROW,1ère ligne,2023-2024,11,413.0,37.5,10.65,,,0.0,,,,0.19,0.0,,,0.0,,,,,lnr,29.0,185.0,113.0,France,98.1,9.0,94.87179487179486,88.28125,68.7,72.3,0.844,86,0,5,49,30,87,,67.8,↗,5,"[81.0, 39.4, 83.9, 100, 56.5]",100,2.96,1ère Ligne,1L,84,Haute,False,Moyenne,False,23,80.2,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1901,1901,mickael-capelli,https://cdn.lnr.fr/joueur/1901-mickael-capelli/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Mickael Capelli,Pau,PAU,LOCK,2ème ligne,2023-2024,9,401.0,44.6,10.77,,,0.6,,,,0.0,0.4,,,1.0,,,,,lnr,27.0,199.0,129.0,France,0.0,12.0,100.0,100.0,76.1,75.8,0.834,0,35,95,40,68,99,,57.3,↘,5,"[42.1, 100, 77.6, 59.2, 37.0]",100,2.61,2ème Ligne,2L,83,Haute,False,Moyenne,False,3,95.2,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1935,1935,thomas-carol,https://cdn.lnr.fr/joueur/1935-thomas-carol/photo/photoFull.b948a9307d0771aeee5c40d614c45938eb2eb700,Thomas Carol,Pau,PAU,FULLBACK,Arrière,2023-2024,9,496.0,55.1,6.29,,,0.32,,,,0.65,0.16,,,0.0,,,,,lnr,,,,,,,0.0,0.0,63.7,67.2,0.913,37,1,5,95,68,0,0.0,65.3,→,1,[76.9],100,0.0,Arrière,ARR,91,Haute,False,Moyenne,False,7,62.5,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1423,1423,simon-pierre-chauvac,https://cdn.lnr.fr/joueur/1423-simon-pierre-chauvac/photo/photoFull.5130516f3d5f5fbc23b3eaab6efe1a2b3082c3df,S. Chauvac,Pau,PAU,FRONT_ROW,1ère ligne,2023-2024,9,419.0,46.6,14.13,,,0.19,,,,0.19,0.0,,,0.0,,,,,lnr,,,,,,,0.0,0.0,63.8,64.8,0.849,86,0,5,94,42,0,,50.0,→,0,[],100,0.0,1ère Ligne,1L,85,Haute,False,Moyenne,False,78,30.6,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1858,1858,tumua-manu,https://cdn.lnr.fr/joueur/1858-tumua-manu/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Tumua Manu,Pau,PAU,CENTRE,Centre,2023-2024,9,671.0,74.6,7.99,,,0.12,,,,0.36,0.48,,,0.0,,,,,lnr,30.0,183.0,97.0,Nouvelle Zélande,49.3,3.0,93.84615384615384,75.78125,73.1,70.0,1.0,44,52,5,94,42,88,,25.4,→,3,"[14.6, 24.2, 37.3]",100,2.61,Centre,CTR,100,Haute,False,Moyenne,False,7,80.9,,,4.0,,,,,,,,,0.0,16.25,0.75,1.75,1.5,3.0,0.0,0.25,3.25,0.5,0.5,0.25
lnr_1905,1905,eliott-roudil,https://cdn.lnr.fr/joueur/1905-eliott-roudil/photo/photoFull.55223152d2bdf719adae33c3f4ef18c348eed132,Eliott Roudil,Pau,PAU,CENTRE,Centre,2023-2024,9,384.0,42.7,4.79,,,0.0,,,,0.21,0.42,,,1.04,,,,,lnr,,,,,,,0.0,0.0,54.2,57.1,0.82,22,44,46,22,30,0,,50.0,→,0,[],100,0.0,Centre,CTR,82,Haute,False,Basse,False,34,2.9,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1849,1849,hugo-parrou,https://cdn.lnr.fr/joueur/1849-hugo-parrou/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Hugo Parrou,Pau,PAU,FRONT_ROW,1ère ligne,2023-2024,7,225.0,32.1,15.29,,,0.0,,,,0.0,1.78,,,0.0,,,,,lnr,21.0,183.0,110.0,France,62.1,5.0,93.84615384615384,85.9375,79.1,72.9,0.675,0,95,5,95,30,85,,37.1,→,5,"[70.9, 60.9, 48.9, 44.6, 24.4]",100,-1.03,1ère Ligne,1L,68,Moyenne,True,Basse,False,19,83.8,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1904,1904,jale-kaikadavu-vatubua,https://cdn.lnr.fr/joueur/1904-jale-kaikadavu-vatubua/photo/photoFull.bb41eca385b8d1ba127fd6b7ef29dd0e94ba4eec,J. Vatubua,Pau,PAU,CENTRE,Centre,2023-2024,7,281.0,40.1,5.69,,,0.0,,,,0.57,0.0,,,0.0,,,,,lnr,,,,,,,0.0,0.0,57.9,69.0,0.731,74,0,5,42,30,0,,50.0,→,0,[],100,0.0,Centre,CTR,73,Moyenne,True,Basse,False,26,25.0,79.4,FIJI,19.0,cluster_0,90.8,77.9,50.0,90.6,65.5,83.5,93.5,0.4400000000000006,,,,,,,,,,,
lnr_1915,1915,clement-laporte,https://cdn.lnr.fr/joueur/1915-clement-laporte/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,C. Laporte,Pau,PAU,FULLBACK,Arrière,2023-2024,6,383.0,63.8,5.43,,,0.21,,,,0.21,0.42,,,1.04,,,,,lnr,,,,,,,0.0,0.0,60.9,62.6,0.819,0,30,24,79,68,0,1.04,50.0,→,0,[],100,0.0,Arrière,ARR,82,Haute,False,Basse,False,10,43.8,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_1855,1855,aminiasi-tuimaba,https://cdn.lnr.fr/joueur/1855-aminiasi-tuimaba/photo/photoFull.3bdbafd9a091ef5bb037d3de56d946eed2f8ad5f,A. Tuimaba,Pau,PAU,WINGER,Ailier,2023-2024,4,292.0,73.0,3.56,,,0.27,,,,1.1,0.0,,,1.37,,,,,lnr,,,,,,,0.0,0.0,67.9,68.4,0.742,85,0,53,10,68,0,1.37,50.0,→,0,[],100,0.0,Ailier,AIL,74,Moyenne,True,Basse,True,10,60.9,,,,,,,,,,,,0.0,,,,,,,,,,,
