player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,yellow_cards,orange_cards,red_cards,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,tries_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,axis_consistency,n_matches_consistency,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,form_score_10,form_trend_10,form_matches_10,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus
lnr_1433,1433,jeremie-maurouard,https://cdn.lnr.fr/joueur/1433-jeremie-maurouard/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,Jeremie Maurouard,Montauban,MTB,FRONT_ROW,1ère ligne,2025-2026,13,442.0,34.0,0,0,0,12.49,,,0.72,,,,0.18,1.45,,,2.71,0.54,,,,,lnr,33.0,180.0,95.0,France,19.6,13.0,91.83673469387756,73.07692307692307,73.9,70.4,0.868,71,95,95,66,95,28,,29.4,↗,5,"[11.1, 58.5, 51.9, 42.8, 13.2]",31.6,↗,10,100,0.5,1ère Ligne,1L,87,Haute,False,Moyenne,False,33,79.0,,,,,,,,,,,,0.0
lnr_1322,1322,kevin-firmin,https://cdn.lnr.fr/joueur/1322-kevin-firmin/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,Kevin Firmin,Montauban,MTB,FRONT_ROW,1ère ligne,2025-2026,12,482.0,40.2,0,0,0,10.62,,,0.0,,,,0.17,0.0,,,0.83,0.17,,,,,lnr,33.0,181.0,108.0,France,92.3,12.0,92.3469387755102,83.07692307692308,55.1,55.8,0.902,67,0,30,44,18,44,,20.5,↘,5,"[44.4, 20.4, 33.7, 25.0, 13.2]",24.6,↘,10,100,0.5,1ère Ligne,1L,90,Haute,False,Moyenne,False,145,8.3,,,,,,,,,,,,0.0
lnr_2266,2266,ru-hann-greyling,https://cdn.lnr.fr/joueur/2266-ru-hann-greyling/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,Ru-hann Greyling,Montauban,MTB,FRONT_ROW,1ère ligne,2025-2026,12,568.0,47.3,1,0,0,8.73,,,0.0,,,,0.0,0.14,,,0.0,0.0,,,,,lnr,26.0,181.0,108.0,Afrique du Sud,87.6,12.0,92.3469387755102,83.07692307692308,49.5,54.1,0.973,0,16,5,22,0,44,,50.8,↗,5,"[24.2, 46.6, 32.0, 78.0, 62.5]",48.7,↗,10,80,2.0,1ère Ligne,1L,97,Haute,False,Moyenne,False,151,4.5,,,,,,,,,,,,0.0
lnr_12704,12704,sikumbuzo-notshe,https://cdn.lnr.fr/joueur/12704-sikumbuzo-notshe/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,S. Notshe,Montauban,MTB,BACK_ROW,3ème ligne,2025-2026,12,617.0,51.4,0,0,0,8.3,,,0.39,,,,0.13,0.13,,,0.65,0.13,,,,,lnr,32.0,186.0,105.0,Afrique du Sud,96.1,12.0,94.89795918367348,80.76923076923077,62.0,62.0,1.0,24,15,29,4,43,90,,34.2,↗,5,"[34.2, 14.1, 18.8, 32.9, 60.1]",34.1,↗,10,100,1.26,3ème Ligne,3L,100,Haute,False,Moyenne,False,69,27.7,63.8,SA,8,cluster_1,50.0,50.0,50.0,50.0,89.0,50.0,87.3,0.0
lnr_1244,1244,simon-renda,https://cdn.lnr.fr/joueur/1244-simon-renda/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,Simon Renda,Montauban,MTB,CENTRE,Centre,2025-2026,12,735.0,61.2,0,0,0,5.99,,,0.22,,,,0.22,0.65,,,0.0,0.0,,,,,lnr,25.0,186.0,97.0,France,50.0,13.0,94.89795918367348,74.61538461538461,64.4,61.6,1.0,21,49,5,49,24,88,,14.8,↘,5,"[43.0, 28.1, 9.4, 9.5, 16.8]",16.8,↘,10,100,1.26,Centre,CTR,100,Haute,False,Moyenne,False,50,33.8,,,,,,,,,,,,0.0
lnr_1341,1341,lucas-seyrolle,https://cdn.lnr.fr/joueur/1341-lucas-seyrolle/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,Lucas Seyrolle,Montauban,MTB,FRONT_ROW,1ère ligne,2025-2026,12,364.0,30.3,0,0,0,7.47,,,0.44,,,,0.0,0.0,,,1.1,0.22,,,,,lnr,30.0,183.0,131.0,France,37.4,13.0,93.36734693877551,100.0,66.2,66.0,0.803,0,0,39,8,51,87,,29.1,↗,5,"[0, 44.4, 53.7, 56.7, 10.0]",29.8,↗,10,100,2.61,1ère Ligne,1L,80,Haute,False,Basse,False,73,53.5,,,,,,,,,,,,0.0
lnr_1385,1385,paul-vallee,https://cdn.lnr.fr/joueur/1385-paul-vallee/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,Paul Vallee,Montauban,MTB,CENTRE,Centre,2025-2026,12,790.0,65.8,0,0,0,2.13,,,0.0,,,,0.51,0.71,,,2.03,0.41,,,,,lnr,23.0,186.0,83.0,France,17.9,12.0,94.89795918367348,63.84615384615384,59.1,55.7,1.0,49,54,51,0,35,80,,3.7,↘,5,"[18.3, 10.7, 0, 16.8, 0]",4.3,↘,10,100,-0.16,Centre,CTR,100,Haute,False,Moyenne,False,68,9.5,,,,,,,,,,,,0.0
lnr_891,891,thomas-fortunel,https://cdn.lnr.fr/joueur/891-thomas-fortunel/photo/photoFull.7260593a1939529b8f58882fcd9327e3deee5c0d,Thomas Fortunel,Montauban,MTB,FLY_HALF,Demi d'ouverture,2025-2026,11,534.0,48.5,0,0,0,4.94,,,0.0,,,,0.0,0.3,,,5.84,0.0,,,,,lnr,30.0,178.0,83.0,France,90.7,11.0,90.81632653061224,63.84615384615384,54.6,56.1,0.945,0,24,59,54,0,46,5.84,26.2,↗,5,"[0, 27.5, 21.6, 23.2, 46.6]",25.1,↗,10,100,2.61,Ouvreur,10,94,Haute,False,Moyenne,False,33,15.8,,,,,,,,,,,,0.0
lnr_1330,1330,maxime-mathy,https://cdn.lnr.fr/joueur/1330-maxime-mathy/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,Maxime Mathy,Montauban,MTB,CENTRE,Centre,2025-2026,11,435.0,39.5,0,0,0,8.46,,,0.18,,,,0.55,0.37,,,1.84,0.37,,,,,lnr,33.0,178.0,88.0,France,35.1,11.0,90.81632653061224,67.6923076923077,71.1,69.3,0.862,53,28,46,92,51,81,,36.8,↗,5,"[16.4, 8.3, 61.4, 55.5, 37.2]",38.4,↗,10,100,0.5,Centre,CTR,86,Haute,False,Moyenne,False,21,73.0,,,,,,,,,,,,0.0
lnr_10999,10999,valentin-simutoga,https://cdn.lnr.fr/joueur/10999-valentin-simutoga/photo/photoFull.28a7076c5091624b9d043c9f795307457230f77f,V. Simutoga,Montauban,MTB,FRONT_ROW,1ère ligne,2025-2026,11,459.0,41.7,0,0,0,9.76,,,0.35,,,,0.0,0.35,,,0.0,0.0,,,,,lnr,23.0,184.0,125.0,France,92.2,10.0,93.87755102040816,96.15384615384616,65.2,65.7,0.882,0,39,5,34,22,77,,43.5,↗,5,"[5.7, 34.2, 56.9, 58.0, 51.3]",44.3,↗,10,100,-0.16,1ère Ligne,1L,88,Haute,False,Moyenne,False,76,51.6,,,,,,,,,,,,0.0
