player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus
lnr_335,335,bastien-vergnes-taillefer,https://cdn.lnr.fr/joueur/335-bastien-vergnes-taillefer/photo/photoFull.9db3e1c64b0fa647759e691550b9e8351884f243,B. Vergnes Taillefer,Bordeaux,BOR,BACK_ROW,3ème ligne,2021-2022,19,972.0,51.2,9.79,,,0.41,,,,0.16,0.49,,,0.41,,,,,lnr,24.0,194.0,111.0,France,98.9795918367347,88.8,67.2,69.2,1.0,35,49,29,37,43,96,,60.8,↗,5,"[44.8, 84.5, 47.8, 100, 62.2]",100,0.5,3ème Ligne,3L,100,Haute,False,Bonne,False,13,60.0,,,,,,,,,,,,0.0
lnr_329,329,jefferson-poirot,https://cdn.lnr.fr/joueur/329-jefferson-poirot/photo/photoFull.9db3e1c64b0fa647759e691550b9e8351884f243,J. Poirot,Bordeaux,BOR,FRONT_ROW,1ère ligne,2021-2022,17,717.0,42.2,10.93,,,0.45,,,,0.0,0.67,,,0.0,,,,,lnr,29.0,181.0,117.0,France,92.3469387755102,93.60000000000001,80.9,79.7,1.0,0,64,0,68,47,91,,52.8,↗,5,"[23.8, 87.9, 30.9, 68.7, 71.5]",100,2.96,1ère Ligne,1L,100,Haute,False,Moyenne,False,4,95.8,70.5,France,38,cluster_1,83.0,75.0,50.0,90.9,60.0,60.3,88.8,0.0
lnr_339,339,matthieu-jalibert,https://cdn.lnr.fr/joueur/339-matthieu-jalibert/photo/photoFull.9db3e1c64b0fa647759e691550b9e8351884f243,Matthieu Jalibert,Bordeaux,BOR,FLY_HALF,Demi d'ouverture,2021-2022,15,900.0,60.0,5.16,,,0.0,,,,1.24,1.42,,,10.49,,,,,lnr,23.0,184.0,84.0,France,93.87755102040816,67.2,80.1,77.3,1.0,100,81,94,53,30,93,10.49,34.5,↗,5,"[26.2, 25.5, 53.5, 24.0, 50.6]",100,-0.16,Ouvreur,10,100,Haute,False,Bonne,False,1,100.0,86.0,France,23,cluster_1,80.6,87.2,84.4,85.0,88.5,82.1,93.7,1.1
lnr_280,280,federico-mori,https://cdn.lnr.fr/joueur/280-federico-mori/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,F. Mori,Bordeaux,BOR,CENTRE,Centre,2021-2022,15,727.0,48.5,2.64,,,0.0,,,,0.88,0.55,,,2.2,,,,,lnr,21.0,188.0,108.0,Italie,95.91836734693877,86.4,64.6,60.9,1.0,85,33,71,0,30,96,,11.8,↘,5,"[34.7, 6.5, 7.3, 0, 20.7]",100,-1.03,Centre,CTR,100,Haute,False,Moyenne,False,23,21.4,65.8,ITALY,15,cluster_1,75.5,77.1,50.0,82.2,55.8,65.6,80.7,0.0
lnr_314,314,alban-roussel,https://cdn.lnr.fr/joueur/314-alban-roussel/photo/photoFull.c13853c24f9a438203d2dc57b45e48161a549ae5,Alban Roussel,Bordeaux,BOR,LOCK,2ème ligne,2021-2022,13,449.0,34.5,9.27,,,0.53,,,,0.0,0.89,,,0.89,,,,,lnr,,,,,0.0,0.0,63.6,65.2,0.75,0,63,73,47,53,0,,50.0,→,0,[],100,0.0,2ème Ligne,2L,75,Haute,False,Moyenne,False,19,47.1,,,,,,,,,,,,0.0
lnr_11027,11027,mateo-garcia,https://cdn.lnr.fr/joueur/11027-mateo-garcia/photo/photoFull.26dec662e84c737005260a65b33966bd7438db17,Mateo Garcia,Bordeaux,BOR,FLY_HALF,Demi d'ouverture,2021-2022,11,197.0,17.9,7.31,,,0.0,,,,0.81,1.62,,,7.31,,,,,lnr,19.0,174.0,83.0,France,88.77551020408163,66.4,78.6,69.5,0.6,84,92,66,88,30,90,7.31,17.3,↘,5,"[36.2, 13.7, 9.2, 15.1, 21.6]",100,-1.38,Ouvreur,10,60,Moyenne,True,Basse,False,2,92.9,,,,,,,,,,,,0.0
lnr_276,276,gatien-masse,https://cdn.lnr.fr/joueur/276-gatien-masse/photo/photoFull.673b50508ed570af2802365a4be2390538bb645a,Gatien Masse,Bordeaux,BOR,CENTRE,Centre,2021-2022,10,395.0,39.5,5.06,,,0.0,,,,0.81,0.41,,,0.0,,,,,lnr,,,,,0.0,0.0,62.0,64.0,0.75,78,24,0,36,30,0,,50.0,→,0,[],100,0.0,Centre,CTR,75,Haute,False,Basse,False,13,55.4,,,,,,,,,,,,0.0
lnr_279,279,pierre-bochaton,https://cdn.lnr.fr/joueur/279-pierre-bochaton/photo/photoFull.9db3e1c64b0fa647759e691550b9e8351884f243,Pierre Bochaton,Bordeaux,BOR,LOCK,2ème ligne,2021-2022,8,507.0,63.4,11.52,,,0.16,,,,0.16,0.32,,,0.0,,,,,lnr,20.0,197.0,103.0,France,100.0,82.39999999999999,75.0,72.1,0.75,46,23,0,75,37,96,,46.0,↗,5,"[54.3, 35.4, 58.0, 51.8, 57.6]",100,-1.25,2ème Ligne,2L,75,Haute,False,Moyenne,False,8,79.4,,,,,,,,,,,,0.0
lnr_337,337,geoffrey-cros,https://cdn.lnr.fr/joueur/337-geoffrey-cros/photo/photoFull.5130516f3d5f5fbc23b3eaab6efe1a2b3082c3df,G. Cros,Bordeaux,BOR,FULLBACK,Arrière,2021-2022,8,529.0,66.1,3.78,,,0.0,,,,0.6,0.45,,,1.51,,,,,lnr,,,,,0.0,0.0,59.6,62.2,0.75,23,30,23,76,30,0,1.51,50.0,→,0,[],100,0.0,Arrière,ARR,75,Haute,False,Moyenne,False,6,50.0,,,,,,,,,,,,0.0
lnr_277,277,louis-bielle-biarrey,https://cdn.lnr.fr/joueur/277-louis-bielle-biarrey/photo/photoFull.dcb886cd35479c542abefe5a2fb2ff29300d8c42,L. Bielle-biarrey,Bordeaux,BOR,WINGER,Arrière,2021-2022,7,420.0,60.0,1.14,,,0.0,,,,0.19,0.57,,,0.95,,,,,lnr,18.0,184.0,83.0,France,93.87755102040816,66.4,56.1,57.2,0.75,17,54,27,0,30,87,0.95,18.0,↗,5,"[26.2, 4.9, 10.5, 34.7, 15.1]",100,-1.45,Ailier,AIL,75,Haute,False,Moyenne,False,17,5.9,,,,,,,,,,,,0.0
lnr_324,324,cyril-cazeaux,https://cdn.lnr.fr/joueur/324-cyril-cazeaux/photo/photoFull.9db3e1c64b0fa647759e691550b9e8351884f243,Cyril Cazeaux,Bordeaux,BOR,LOCK,2ème ligne,2021-2022,5,241.0,48.2,7.97,,,0.66,,,,0.33,0.33,,,1.66,,,,,lnr,27.0,198.0,117.0,France,100.0,93.60000000000001,76.4,73.8,0.6,94,23,100,32,59,98,,44.4,↘,5,"[48.6, 53.0, 43.2, 49.3, 56.5]",100,2.61,2ème Ligne,2L,60,Moyenne,True,Basse,False,7,82.4,,,,,,,,,,,,0.0
lnr_2596,2596,nathanael-hulleu,https://cdn.lnr.fr/joueur/2596-nathanael-hulleu/photo/photoFull.50e0d211418fb8267083232d5e5561b6e88fe79f,N. Hulleu,Bordeaux,BOR,WINGER,Ailier,2021-2022,4,228.0,57.0,2.81,,,0.35,,,,0.0,0.35,,,3.51,,,,,lnr,21.0,178.0,86.0,France,90.81632653061224,68.8,55.1,58.5,0.6,0,25,100,23,45,87,3.51,18.9,→,5,"[37.8, 12.4, 25.5, 28.0, 10.1]",100,-1.03,Ailier,AIL,60,Moyenne,True,Basse,True,16,11.8,,,,,,,,,,,,0.0
lnr_287,287,pablo-dimcheff,https://cdn.lnr.fr/joueur/287-pablo-dimcheff/photo/photoFull.fb26dc620384a6249e4f25079e745b2cf06fe9f6,Pablo Dimcheff,Bordeaux,BOR,FRONT_ROW,1ère ligne,2021-2022,3,70.0,23.3,14.86,,,1.14,,,,0.0,1.14,,,0.0,,,,,lnr,,,,,0.0,0.0,80.5,75.2,0.5,0,100,0,100,70,0,,50.0,→,0,[],100,0.0,1ère Ligne,1L,50,Basse,True,Basse,True,10,87.5,,,,,,,,,,,,0.0
lnr_313,313,pablo-uberti,https://cdn.lnr.fr/joueur/313-pablo-uberti/photo/photoFull.9db3e1c64b0fa647759e691550b9e8351884f243,Pablo Uberti,Bordeaux,BOR,CENTRE,Centre,2021-2022,1,62.0,62.0,5.16,,,0.0,,,,0.0,2.58,,,0.0,,,,,lnr,,,,,0.0,0.0,59.5,63.3,0.5,0,100,0,37,30,0,,29.8,↗,5,"[17.8, 33.4, 46.5, 50.9, 18.3]",100,0.0,Centre,CTR,50,Basse,True,Basse,True,18,39.3,,,,,,,,,,,,0.0
